Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638b8e4e3ba3a61d9d08ceec,5f7f7aeb7fe61c12a0d96700,APPROVED,2022-12-03T17:58:38.864000Z,2022-12-03T18:04:55.289000Z,2022-12-03T18:11:18.786000,2022-12-03T18:04:55.692008Z,377,C2TJMYKC,115,"English, Polish",21,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
638b8e54e299d5f71ef19e76,60ea091fdb5ed5f90a47030b,APPROVED,2022-12-03T17:58:44.856000Z,2022-12-03T18:07:37.179000Z,2022-12-03T18:11:18.890000,2022-12-03T18:07:37.699132Z,533,C2TJMYKC,122,"Spanish, English",22,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
638b8e58667722d380524f40,613b8b0ff7b680b19417e8ec,APPROVED,2022-12-03T17:58:50.856000Z,2022-12-03T18:09:55.710000Z,2022-12-03T18:11:13.618000,2022-12-03T18:09:56.082341Z,665,C2TJMYKC,80,"English, Spanish",31,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
638b8e5940d97eafd1b28eef,5da4e9deae244d001a03c3ec,APPROVED,2022-12-03T17:58:49.118000Z,2022-12-03T18:05:18.817000Z,2022-12-03T18:11:13.720000,2022-12-03T18:05:19.212742Z,390,C2TJMYKC,308,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
638b8e5c3ba3a61d9d08ceef,6106ddd6e48453412d0305d1,APPROVED,2022-12-03T17:58:54.834000Z,2022-12-03T18:08:23.973000Z,2022-12-03T18:11:18.992000,2022-12-03T18:08:24.313673Z,570,C2TJMYKC,347,"English, Tagalog-Filipino",53,Male,Asian,Philippines,United Kingdom,Philippines,Tagalog-Filipino,No,Full-Time
638b8e6039d33f8f963fe270,5ebc0c153f8b2e04d3833423,APPROVED,2022-12-03T17:59:18.188000Z,2022-12-03T18:09:08.876000Z,2022-12-03T18:11:13.823000,2022-12-03T18:09:09.289547Z,591,C2TJMYKC,325,"English, Polish",21,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
638b8e61389bb341e9d4710a,60990c861b856e3f6988306e,APPROVED,2022-12-03T17:58:57.570000Z,2022-12-03T18:08:02.591000Z,2022-12-03T18:11:19.102000,2022-12-03T18:08:02.956238Z,546,C2TJMYKC,288,"Catalan, English, Spanish",29,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
638b8e6d389bb341e9d4710d,5e83c0347dd46d0f27aa4e57,APPROVED,2022-12-03T17:59:09.797000Z,2022-12-03T18:17:13.172000Z,2022-12-03T18:25:31.503000,2022-12-03T18:17:13.548113Z,1084,C2TJMYKC,148,"Portuguese, English",29,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
638b8e6d73d8425fde057fa7,613e780e5eb516927b8c5406,APPROVED,2022-12-03T17:59:58.062000Z,2022-12-03T18:07:18.945000Z,2022-12-03T18:11:13.924000,2022-12-03T18:07:19.321605Z,441,C2TJMYKC,69,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
638b8e6e821b8265c97c32e0,5f3abb432fd48973806751a9,APPROVED,2022-12-03T17:59:10.547000Z,2022-12-03T18:14:15.452000Z,2022-12-03T18:25:26.979000,2022-12-03T18:14:16.178077Z,905,C2TJMYKC,156,"Spanish, English",28,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
638b8e7ad54e327cbb61e1ac,5d0d5e17df0a87001532ef53,APPROVED,2022-12-03T17:59:24.233000Z,2022-12-03T18:08:58.334000Z,2022-12-03T18:11:19.208000,2022-12-03T18:08:58.759459Z,575,C2TJMYKC,97,"Portuguese, English, Spanish",25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
638b8e7b0ff647a8bff1d825,61099ed3d23b7e38349fcc01,APPROVED,2022-12-03T17:59:23.650000Z,2022-12-03T18:06:17.757000Z,2022-12-03T18:11:14.026000,2022-12-03T18:06:18.165736Z,415,C2TJMYKC,142,"Portuguese, English",23,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
