Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638cfd86ee8400ce0478fed6,5f25d8172b91b02b72277187,APPROVED,2022-12-04T20:05:26.482000Z,2022-12-04T20:16:26.827000Z,2022-12-04T21:15:58.625000,2022-12-04T20:16:27.584006Z,661,C1GK0VPE,289,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
638cfd8771f9d75dd0889beb,5f88b1277272d408b9a8676a,APPROVED,2022-12-04T20:05:27.112000Z,2022-12-04T20:11:29.120000Z,2022-12-04T21:15:58.739000,2022-12-04T20:11:29.595600Z,363,C1GK0VPE,220,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638cfd880583ead4ff2b39a9,6152a94e016743061d3f35a0,APPROVED,2022-12-04T20:05:28.437000Z,2022-12-04T20:16:10.606000Z,2022-12-04T21:15:58.861000,2022-12-04T20:16:10.973046Z,643,C1GK0VPE,191,"English, Spanish",24,Male,White,DATA_EXPIRED,Mexico,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
638cfd8868e2655e5d9a5ac1,5f2ccbf8afada41f01235425,APPROVED,2022-12-04T20:05:28.014000Z,2022-12-04T20:14:19.868000Z,2022-12-04T21:15:58.978000,2022-12-04T20:14:20.301717Z,532,C1GK0VPE,111,"English, Spanish",18,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
638cfd88822ecc869505e38e,604909c9848a38f02de05a92,APPROVED,2022-12-04T20:05:28.929000Z,2022-12-04T20:14:06.244000Z,2022-12-04T21:16:07.475000,2022-12-04T20:14:06.735278Z,518,C1GK0VPE,160,"English, Portuguese, Spanish",20,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
638cfd88a2abb2c3f5182ed1,610e9f7b1445770470fd5a4a,APPROVED,2022-12-04T20:05:28.594000Z,2022-12-04T20:17:22.693000Z,2022-12-04T21:16:07.595000,2022-12-04T20:17:23.106305Z,715,C1GK0VPE,127,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
638cfd894e92ceea75182eb2,6113113ee1e4e6df85ec7e8a,APPROVED,2022-12-04T20:05:29.449000Z,2022-12-04T20:24:56.142000Z,2022-12-04T21:15:59.093000,2022-12-04T20:24:56.619084Z,1167,C1GK0VPE,273,"English, Spanish",31,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
638cfd89657c598b1d98faaf,614dd12e1864621b9d8436ac,APPROVED,2022-12-04T20:05:34.122000Z,2022-12-04T20:16:44.257000Z,2022-12-04T21:15:59.207000,2022-12-04T20:16:44.630153Z,671,C1GK0VPE,125,"English, Polish",22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
638cfd8992771f52f70585e1,5c6f9778c114eb00018b30b8,APPROVED,2022-12-04T20:05:31.315000Z,2022-12-04T20:13:27.279000Z,2022-12-04T21:16:07.718000,2022-12-04T20:13:27.721882Z,476,C1GK0VPE,724,"English, Hindi, Spanish",27,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
638cfd8998e6d656b3fd3aaf,5eacb952f2859100093a61df,APPROVED,2022-12-04T20:05:29.822000Z,2022-12-04T20:15:18.603000Z,2022-12-04T21:15:59.329000,2022-12-04T20:15:19.032092Z,589,C1GK0VPE,261,"English, Portuguese",23,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
638cfd89e59af600be488617,5ce8004575db4d0019dee645,APPROVED,2022-12-04T20:05:32.542000Z,2022-12-04T20:23:42.735000Z,2022-12-04T21:16:07.836000,2022-12-04T20:23:43.151002Z,1091,C1GK0VPE,154,"Portuguese, English",48,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
638cfd8a028edeb274058608,5eb3a51f58efe718f5cffdb4,APPROVED,2022-12-04T20:05:30.279000Z,2022-12-04T20:15:36.443000Z,2022-12-04T21:15:59.446000,2022-12-04T20:15:36.798140Z,607,C1GK0VPE,398,"English, Spanish",30,Male,White,Chile,Chile,Chile,Spanish,No,Unemployed (and job seeking)
638cfd8a2053e198e488a183,5f0c002c47848351fd023d3d,APPROVED,2022-12-04T20:05:30.090000Z,2022-12-04T20:17:06.970000Z,2022-12-04T21:15:59.567000,2022-12-04T20:17:07.406352Z,697,C1GK0VPE,298,"Spanish, English",23,Male,White,Chile,Chile,Chile,English,Yes,Other
